Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Have Mortgage,Home Mortgage,Own Home,Rent,business loan,buy a car,buy house,debt consolidation,educational expenses,home improvements,major purchase,medical bills,moving,other,renewable energy,small business,take a trip,vacation,wedding,Loan-to-Income Ratio,Credit Utilization Ratio,Delinquency Ratio,Debt-to-Income Ratio,Credit Default
-0.19303811528362164,-1.121868394469893,-0.12101820354380821,0.9420530442908254,0.08341825383550737,0.3566730073883054,-0.36200903491510206,2.171712719453291,-0.34379580489048017,-0.5915167019106974,0.6851604374158432,1.105260331730999,1.7196044627364293,0.31653685442339397,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7491777707462076,0.8210644554901824,1.8083163147685883,2.243223853055226,1
-1.2887800783076309,-1.6712473216041164,-0.12101820354380821,1.4039947136063657,-1.2059063530716787,-0.04097112458969548,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,-0.5915167019106974,0.1385615854244318,0.5979996247873675,-0.45682152175096485,0.31653685442339397,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.3556994173840136,0.8783109136766467,-0.6517982060073902,1.1654145344636462,1
2.521113627945512,1.0756473140670004,-0.12101820354380821,0.01816970565974464,-0.12098686677172954,-0.017796339741751627,1.8346477303464392,-0.6983066109996929,2.6336505423134478,1.6905693394114378,1.0815647171386988,0.5370195139101045,1.325040769272593,-0.075977742059136,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.5804931688767223,0.7371205922408594,-0.6517982060073902,-0.373452540954996,0
-0.19303811528362164,1.0756473140670004,-0.12101820354380821,0.9420530442908254,-0.3253919873789664,-0.43416652554777857,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,-0.5915167019106974,-0.3085637562360107,0.1830534241563923,0.12000055115859157,0.31653685442339397,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.29407195028827643,1.1680512332737918,-0.6517982060073902,0.2520122860230834,1
-0.19303811528362164,-0.2978000037685579,-0.12101820354380821,-1.3676553022868765,0.25637643281086125,-0.8474329455259558,-0.36200903491510206,1.6418629969081249,-0.34379580489048017,1.6905693394114378,0.9744614991796484,-1.0601903132982047,-1.5815059576039194,0.31653685442339397,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.052897106461414,-1.1189303736533256,1.2421345504010128,-1.8660492022652462,1
-0.19303811528362164,-0.5724894673356696,-0.12101820354380821,-0.21280112899802556,1.0582734444238673,-0.13486004088214656,-0.36200903491510206,2.171712719453291,-0.34379580489048017,-0.5915167019106974,-0.9575677565661127,-0.4192424402005736,0.9259305001826702,0.31653685442339397,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.9754212085834334,-0.5853541779584654,1.1932876845745939,1.2552462898280814,0
-0.1355970260657821,-0.2978000037685579,-0.12101820354380821,0.9420530442908254,0.1305886662833308,-0.2969800759568252,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,-0.5915167019106974,-0.7891502075707933,-0.262945725244389,0.19946678601453458,0.8071801000265564,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.8290110423231772,-0.0746597087605728,-0.6517982060073902,0.28851079681293407,1
-0.19303811528362164,-0.2978000037685579,-0.12101820354380821,-2.060567806260187,-0.48262669553837934,-1.1447762983054728,-0.36200903491510206,2.304175150089583,-0.34379580489048017,-0.5915167019106974,-0.9679109585389092,-1.2283077882090587,-1.7067344645224267,0.31653685442339397,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.9862798981893175,-1.4029003092260748,2.5395380461746178,-2.0219355749437997,1
0.5269611178382607,1.0756473140670004,-0.12101820354380821,-0.44377196365579574,0.4293346117862157,0.6011462957619274,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,1.6905693394114378,-0.0567142370064208,0.5112202362312626,0.2556071111366436,0.46372982810434266,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.5145672470772049,-0.15084520879645352,-0.6517982060073902,-0.20023096229249374,0
-0.7884043677877843,-0.2978000037685579,-0.12101820354380821,0.9420530442908254,-0.48262669553837934,0.10273323323974207,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,-0.5915167019106974,-0.34455214005493845,0.1496550865066914,0.45644714748897713,0.31653685442339397,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2883412917278819,-0.02503446696324993,-0.6517982060073902,1.7044434389476009,1
0.48583046136128927,-0.023110540201446223,-0.12101820354380821,-0.44377196365579574,-0.3882858706427317,-0.9850849599910866,-0.36200903491510206,0.3172386905452092,-0.34379580489048017,-0.5915167019106974,-0.02949948490207196,-0.963935553667325,1.1231135083140213,0.9543730737075051,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.4716562113099436,-0.3339421668080945,0.38610809772827426,0.6503165475942282,0
-1.4915258487691163,1.0756473140670004,4.284984352662802,0.01816970565974464,-0.624137932881851,-0.4337009606736011,1.8346477303464392,-0.6983066109996929,-0.34379580489048017,-0.5915167019106974,-0.8671924331556592,-0.33537133385553813,-0.9990500844620387,0.12027955618212896,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7426459179147051,0.0473300839576973,-0.6517982060073902,0.2429716247135779,1
0.10895309265979766,1.0756473140670004,-0.12101820354380821,0.480111374975285,1.1368907985035739,-0.1555518130678107,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,1.6905693394114378,-0.0567142370064208,-0.08863642369061286,-0.46136809737705115,0.9053087491471888,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.26729910861675704,-0.005924826107019564,-0.6517982060073902,-0.6674604432987671,0
